,Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,2021-10-29,38.639999,39.0,37.400002,37.599998,37.599998,486390
2021-11-01,2021-11-01,37.0,37.200001,35.400002,35.599998,35.599998,534920
2021-11-02,2021-11-02,36.400002,37.200001,35.959999,36.599998,36.599998,416250
2021-11-03,2021-11-03,36.0,36.799999,34.799999,35.0,35.0,443030
2021-11-04,2021-11-04,34.0,34.200001,32.5,33.599998,33.599998,590780
2021-11-05,2021-11-05,33.0,34.400002,32.799999,34.400002,34.400002,291735
2021-11-08,2021-11-08,34.599998,34.720001,33.599998,34.200001,34.200001,181765
2021-11-09,2021-11-09,33.400002,36.200001,33.200001,36.0,36.0,467230
2021-11-10,2021-11-10,37.0,38.200001,35.0,36.799999,36.799999,513080
2021-11-11,2021-11-11,35.200001,35.799999,35.0,35.599998,35.599998,192805
2021-11-12,2021-11-12,35.799999,36.599998,34.599998,34.599998,34.599998,136005
2021-11-15,2021-11-15,34.599998,35.799999,34.259998,34.799999,34.799999,236435
2021-11-16,2021-11-16,35.200001,35.200001,34.0,34.0,34.0,216355
2021-11-17,2021-11-17,33.799999,35.400002,33.599998,35.200001,35.200001,254150
2021-11-18,2021-11-18,34.799999,36.0,34.400002,35.200001,35.200001,287350
2021-11-19,2021-11-19,34.599998,35.0,34.0,34.400002,34.400002,202620
2021-11-22,2021-11-22,33.400002,36.200001,32.599998,36.0,36.0,415040
2021-11-23,2021-11-23,35.799999,38.5,35.0,37.200001,37.200001,630180
2021-11-24,2021-11-24,37.599998,38.599998,35.599998,35.799999,35.799999,327500
2021-11-26,2021-11-26,36.599998,38.400002,36.400002,37.599998,37.599998,295015
2021-11-29,2021-11-29,35.599998,36.599998,35.200001,36.0,36.0,313710
2021-11-30,2021-11-30,36.0,38.400002,35.200001,37.599998,37.599998,461205
2021-12-01,2021-12-01,35.799999,40.599998,35.599998,40.599998,40.599998,565695
2021-12-02,2021-12-02,40.599998,42.0,38.799999,38.799999,38.799999,650835
2021-12-03,2021-12-03,40.599998,46.0,40.599998,44.400002,44.400002,1023365
2021-12-06,2021-12-06,44.91,46.77,41.169998,41.459999,41.459999,862600
2021-12-07,2021-12-07,38.709999,39.470001,37.299999,37.32,37.32,1383700
2021-12-08,2021-12-08,37.419998,38.52,36.419998,36.599998,36.599998,1227900
2021-12-09,2021-12-09,36.880001,38.939999,35.779999,38.560001,38.560001,1455100
2021-12-10,2021-12-10,38.0,40.060001,37.810001,38.310001,38.310001,1313500
2021-12-13,2021-12-13,39.029999,41.75,38.82,41.700001,41.700001,1255900
2021-12-14,2021-12-14,43.560001,43.93,41.59,41.709999,41.709999,1370400
2021-12-15,2021-12-15,42.59,45.09,39.560001,39.689999,39.689999,1552700
2021-12-16,2021-12-16,38.900002,43.889999,38.723,43.360001,43.360001,1240400
2021-12-17,2021-12-17,44.77,45.459999,41.790001,43.57,43.57,963000
2021-12-20,2021-12-20,46.009998,47.139999,45.223,45.990002,45.990002,761900
2021-12-21,2021-12-21,44.549999,45.66,41.439999,41.810001,41.810001,724800
2021-12-22,2021-12-22,42.299999,42.639999,39.990002,39.990002,39.990002,410700
2021-12-23,2021-12-23,40.32,40.82,38.639999,39.32,39.32,288000
2021-12-27,2021-12-27,38.77,38.82,36.900002,37.779999,37.779999,317900
2021-12-28,2021-12-28,37.209999,38.549999,37.189999,38.369999,38.369999,299800
2021-12-29,2021-12-29,38.48,40.145,38.0,39.200001,39.200001,271400
2021-12-30,2021-12-30,39.490002,39.490002,36.470001,37.599998,37.599998,251000
2021-12-31,2021-12-31,37.98,39.139999,37.279999,38.84,38.84,321200
2022-01-03,2022-01-03,37.66,38.380001,36.259998,36.299999,36.299999,384600
2022-01-04,2022-01-04,36.360001,39.549999,36.360001,38.540001,38.540001,526400
2022-01-05,2022-01-05,38.98,42.330002,37.540001,42.330002,42.330002,704600
2022-01-06,2022-01-06,42.43,43.779999,39.950001,41.25,41.25,557200
2022-01-07,2022-01-07,40.389999,42.599998,39.43,41.889999,41.889999,467700
2022-01-10,2022-01-10,43.439999,45.849998,41.759998,41.779999,41.779999,763400
2022-01-11,2022-01-11,42.169998,42.999001,39.700001,39.91,39.91,431700
2022-01-12,2022-01-12,38.490002,39.48,37.709999,38.299999,38.299999,397000
2022-01-13,2022-01-13,38.580002,42.880001,38.507999,42.349998,42.349998,732300
2022-01-14,2022-01-14,43.529999,43.529999,41.040001,41.040001,41.040001,622200
2022-01-18,2022-01-18,43.990002,44.84,42.369999,44.200001,44.200001,464000
2022-01-19,2022-01-19,43.634998,45.637001,42.610001,45.299999,45.299999,480200
2022-01-20,2022-01-20,42.799999,46.16,41.459999,46.119999,46.119999,752700
2022-01-21,2022-01-21,49.700001,53.389999,48.419998,52.939999,52.939999,1146500
2022-01-24,2022-01-24,58.09,64.589996,54.0,54.779999,54.779999,1664700
2022-01-25,2022-01-25,57.669998,59.553001,55.040001,58.59,58.59,788000
2022-01-26,2022-01-26,52.700001,60.860001,52.27,58.310001,58.310001,794200
2022-01-27,2022-01-27,55.900002,61.599998,55.544998,61.25,61.25,509000
2022-01-28,2022-01-28,60.209999,63.630001,55.869999,56.380001,56.380001,613400
2022-01-31,2022-01-31,53.5,54.419998,46.0,46.299999,46.299999,949500
2022-02-01,2022-02-01,45.369999,47.626999,44.400002,44.439999,44.439999,578600
2022-02-02,2022-02-02,42.009998,46.32,42.009998,44.82,44.82,695700
2022-02-03,2022-02-03,50.41,52.380001,48.279999,52.16,52.16,824300
2022-02-04,2022-02-04,50.52,52.75,47.18,48.59,48.59,908100
2022-02-07,2022-02-07,49.200001,51.970001,48.27,51.639999,51.639999,663500
2022-02-08,2022-02-08,51.619999,52.040001,48.080002,48.869999,48.869999,514400
2022-02-09,2022-02-09,46.68,47.669998,44.919998,45.139999,45.139999,494400
2022-02-10,2022-02-10,47.700001,48.52,44.578999,47.849998,47.849998,642100
2022-02-11,2022-02-11,47.549999,53.299999,46.845001,52.700001,52.700001,660500
2022-02-14,2022-02-14,53.380001,53.779999,49.790001,51.84,51.84,512500
2022-02-15,2022-02-15,48.91,49.400002,46.650002,47.009998,47.009998,382900
2022-02-16,2022-02-16,47.900002,48.967999,46.611,47.18,47.18,443400
2022-02-17,2022-02-17,48.52,51.5,47.16,51.5,51.5,496300
2022-02-18,2022-02-18,51.27,56.000999,51.150002,54.880001,54.880001,899300
2022-02-22,2022-02-22,57.779999,60.57,55.07,58.650002,58.650002,791900
2022-02-23,2022-02-23,56.310001,64.0,55.284,63.959999,63.959999,776800
2022-02-24,2022-02-24,73.599998,74.0,57.060001,57.549999,57.549999,1075000
2022-02-25,2022-02-25,57.34,60.228001,55.360001,55.360001,55.360001,423400
2022-02-28,2022-02-28,57.18,57.759998,53.349998,54.450001,54.450001,490500
2022-03-01,2022-03-01,53.509998,55.990002,50.939999,54.66,54.66,517400
2022-03-02,2022-03-02,54.400002,57.439999,52.959999,53.560001,53.560001,257500
2022-03-03,2022-03-03,52.970001,58.41,52.34,57.57,57.57,317000
2022-03-04,2022-03-04,58.849998,62.48,57.34,61.450001,61.450001,367300
2022-03-07,2022-03-07,62.0,69.0,59.849998,68.75,68.75,379400
2022-03-08,2022-03-08,69.18,73.330002,63.259998,69.449997,69.449997,644200
2022-03-09,2022-03-09,64.0,65.551003,59.900002,60.009998,60.009998,274900
2022-03-10,2022-03-10,63.630001,66.870003,63.139999,63.52,63.52,355600
2022-03-11,2022-03-11,62.099998,72.419998,62.099998,72.220001,72.220001,586800
2022-03-14,2022-03-14,76.5,81.379997,73.519997,80.669998,80.669998,635500
2022-03-15,2022-03-15,80.669998,82.620003,72.404999,73.260002,73.260002,592100
2022-03-16,2022-03-16,63.799999,65.400002,50.75,51.119999,51.119999,1445700
2022-03-17,2022-03-17,53.169998,54.439999,49.650002,49.950001,49.950001,709600
2022-03-18,2022-03-18,49.59,50.0,43.779999,44.5,44.5,944000
2022-03-21,2022-03-21,46.5,47.860001,44.23,45.5,45.5,918700
2022-03-22,2022-03-22,43.509998,43.931,40.0,40.619999,40.619999,1187600
2022-03-23,2022-03-23,41.59,42.290001,38.799999,41.330002,41.330002,991400
2022-03-24,2022-03-24,41.189999,42.84,39.389999,39.52,39.52,762400
2022-03-25,2022-03-25,40.59,41.84,39.57,39.799999,39.799999,813700
2022-03-28,2022-03-28,39.299999,39.970001,37.560001,37.639999,37.639999,522400
2022-03-29,2022-03-29,35.77,37.404999,35.261002,36.0,36.0,953100
2022-03-30,2022-03-30,36.970001,37.860001,35.462002,37.32,37.32,689100
2022-03-31,2022-03-31,37.779999,40.560001,37.740002,40.119999,40.119999,791900
2022-04-01,2022-04-01,38.27,40.59,38.060001,39.68,39.68,656600
2022-04-04,2022-04-04,38.360001,38.650002,34.709999,34.900002,34.900002,832800
2022-04-05,2022-04-05,35.48,38.439999,35.380001,37.82,37.82,742800
2022-04-06,2022-04-06,40.349998,43.150002,39.869999,42.09,42.09,1342100
2022-04-07,2022-04-07,42.57,45.458,41.66,42.75,42.75,1090300
2022-04-08,2022-04-08,44.029999,45.43,43.400002,45.09,45.09,974600
2022-04-11,2022-04-11,47.98,49.5,47.060001,49.16,49.16,865500
2022-04-12,2022-04-12,46.790001,51.169998,45.950001,50.279999,50.279999,1014800
2022-04-13,2022-04-13,50.869999,51.41,46.759998,47.560001,47.560001,549400
2022-04-14,2022-04-14,48.09,51.900002,47.619999,51.529999,51.529999,603500
2022-04-18,2022-04-18,52.380001,53.679001,50.459999,50.939999,50.939999,748000
2022-04-19,2022-04-19,51.849998,53.463001,48.141998,48.709999,48.709999,486800
2022-04-20,2022-04-20,51.740002,58.139999,51.740002,57.290001,57.290001,825500
2022-04-21,2022-04-21,54.799999,62.988998,53.240002,62.880001,62.880001,930600
2022-04-22,2022-04-22,61.41,66.25,59.209999,66.099998,66.099998,991000
2022-04-25,2022-04-25,69.0,69.620003,64.080002,64.400002,64.400002,811200
2022-04-26,2022-04-26,65.519997,73.989998,65.419998,73.639999,73.639999,812600
2022-04-27,2022-04-27,73.610001,74.877998,68.265999,73.050003,73.050003,846800
2022-04-28,2022-04-28,66.410004,72.059998,61.284,62.650002,62.650002,752500
2022-04-29,2022-04-29,61.678001,68.599998,58.5,67.709999,67.709999,804100
2022-05-02,2022-05-02,69.129997,70.220001,61.810001,61.810001,61.810001,577300
2022-05-03,2022-05-03,62.389999,63.77,60.18,62.060001,62.060001,529400
2022-05-04,2022-05-04,62.98,66.199997,55.150002,56.0,56.0,746700
2022-05-05,2022-05-05,58.950001,67.889999,58.950001,66.470001,66.470001,896700
2022-05-06,2022-05-06,67.739998,72.949997,65.459999,70.199997,70.199997,961100
2022-05-09,2022-05-09,75.809998,82.830002,73.620003,81.150002,81.150002,937500
2022-05-10,2022-05-10,74.620003,82.910004,73.040001,77.760002,77.760002,990700
2022-05-11,2022-05-11,78.339996,88.860001,74.769997,87.389999,87.389999,774900
2022-05-12,2022-05-12,93.589996,98.099998,81.910004,89.040001,89.040001,1063700
2022-05-13,2022-05-13,83.510002,83.779999,73.209999,74.709999,74.709999,996500
2022-05-16,2022-05-16,75.07,78.089996,73.610001,77.43,77.43,648000
2022-05-17,2022-05-17,70.361,74.315002,68.419998,69.93,69.93,730300
2022-05-18,2022-05-18,73.290001,81.25,72.0,80.419998,80.419998,806500
2022-05-19,2022-05-19,82.18,82.830002,74.889999,78.989998,78.989998,648000
2022-05-20,2022-05-20,76.5,89.081001,74.970001,81.419998,81.419998,951500
2022-05-23,2022-05-23,81.410004,85.057999,78.0,78.610001,78.610001,470000
2022-05-24,2022-05-24,86.260002,92.440002,85.300003,89.449997,89.449997,942100
2022-05-25,2022-05-25,89.519997,89.879997,81.5,84.18,84.18,456400
2022-05-26,2022-05-26,82.5,82.690002,67.848999,69.400002,69.400002,1344800
2022-05-27,2022-05-27,68.029999,68.029999,62.540001,62.540001,62.540001,700900
2022-05-31,2022-05-31,59.799999,63.599998,58.221001,60.330002,60.330002,814700
2022-06-01,2022-06-01,59.52,64.07,57.009998,62.209999,62.209999,774000
2022-06-02,2022-06-02,63.84,64.529999,55.369999,56.189999,56.189999,712600
2022-06-03,2022-06-03,59.299999,62.689999,58.52,61.700001,61.700001,810900
2022-06-06,2022-06-06,57.029999,60.84,55.080002,59.25,59.25,801400
2022-06-07,2022-06-07,61.470001,61.668999,56.080002,56.91,56.91,615700
2022-06-08,2022-06-08,55.77,56.220001,51.610001,53.639999,53.639999,669100
2022-06-09,2022-06-09,54.73,60.049999,53.200001,60.009998,60.009998,847200
2022-06-10,2022-06-10,61.560001,66.889999,60.610001,66.440002,66.440002,1445100
2022-06-13,2022-06-13,74.879997,79.860001,72.82,78.879997,78.879997,1127200
2022-06-14,2022-06-14,76.279999,78.800003,71.830002,75.0,75.0,1083300
2022-06-15,2022-06-15,71.190002,72.629997,63.66,65.919998,65.919998,1269900
2022-06-16,2022-06-16,73.589996,77.692001,72.169998,76.379997,76.379997,1283900
2022-06-17,2022-06-17,71.559998,76.199997,69.099998,72.723,72.723,922400
2022-06-21,2022-06-21,67.940002,68.25,63.330002,66.510002,66.510002,487400
2022-06-22,2022-06-22,68.620003,69.120003,62.669998,66.919998,66.919998,667100
2022-06-23,2022-06-23,64.459999,67.75,62.441002,63.290001,63.290001,608700
